"","author","paper_title","publication_year","aim_study","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","how_computed_1","how_computed_2","how_computed_3","how_computed_4","how_computed_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_1","intervention_2","intervention_3","intervention_4","intervention_5","intervention_times_1","intervention_times_2","intervention_times_3","intervention_times_4","intervention_times_5","exposure_1","exposure_2","exposure_3","exposure_4","exposure_5","exposure_times_1","exposure_times_2","exposure_times_3","exposure_times_4","exposure_times_5","domain","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","test-retest_result_1","test-retest_result_2","test-retest_result_3","test-retest_result_4","test-retest_result_5","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","comparison_significant_1","comparison_significant_2","comparison_significant_3","comparison_significant_4","comparison_significant_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","characteristics_sample_1","characteristics_sample_2","characteristics_sample_3","characteristics_sample_4","characteristics_sample_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"45","Helweg-Larsen","Does Moralization Motivate Smokers to Quit? A Longitudinal Study of Representative Samples of Smokers in the United States and Denmark",2014,"in the present study, the effects of moralization on perceived personal risk and smoking cessation behaviors were studied by comparing representative samples of smokers from the united states (a smoking-prohibitive culture where smoking is moralized) and denmark (a smoking-lenient culture where smoking is less moralized).","knowledge networks (www.gfk.com/us/solutions/consumer-panels/pages/gfk-knowledgepanel.aspx)","longitudinal","risk","risk",NA,NA,NA,"single item","single item",NA,NA,NA,"5-point likert scale (very low- very high)","5-point likert scale (very low- very high)",NA,NA,NA,"“imagine that you in the future smoke a pack of cigarettes every day. what is then your chance of getting lung cancer in your life time.” 

u.s. participants","“imagine that you in the future smoke a pack of cigarettes every day. what is then your chance of getting lung cancer in your life time.” 

danish participants",NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cigarettes","yes","yes",NA,NA,NA,"correlation","correlation",NA,NA,NA,"0.70","0.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"us participants, t1-t2","danish participants, t1-t2",NA,NA,NA,"6 months","6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"smokers","smokers",NA,NA,NA,"adults","adults",NA,NA,NA,"united states of america","denmark",NA,NA,NA,431,428,NA,NA,NA,0.466,0.54,NA,NA,NA,"47.96",50.79,NA,NA,NA,13.57,14.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Hajek","Determinants of Perceived Own Risk for Developing Dementia and the Perception That Memory Deterioration Is Preventable. Findings From the General Adult Population in Germany",2020,"to identify among the general population the determinants of (1) perceived own risk of developing dementia and (2) the perception that memory deterioration is preventable.","german socio-economic panel (gsoep)","serial-cross sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale and 7-point likert scale",NA,NA,NA,NA,"1. how do you estimate your risk of getting a form of dementia, such as alzheimer disease 1 day (1 = very low, 2 = low, 3 = average, 4 = increased or 5 = high)? 2. there is quite a lot of what i can do by myself to keep my mind
from reduction (agreement with the statement: from 1 = does not apply at all to 7 = fully applies).",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: dementia","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Zanin","Influence of educational actions on transitioning of food safety culture in a food service context: Part 2 - Effectiveness of educational actions in a longitudinal study",2021,"this study investigated the effectiveness of educational actions in the transition of fs-culture in a longitudinal study using action research in an army food service, which was selected as a case.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"6-point likert",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,"educational actions food saftey",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: food safety","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1 - t2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 months",NA,NA,NA,NA,"experts",NA,NA,NA,NA,"food handlers and managers",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"the netherlands",NA,NA,NA,NA,26,NA,NA,NA,NA,0,NA,NA,NA,NA,"22.6",NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Phillips","Cohort profile: The UK COVID-19 Public Experiences (COPE) prospective longitudinal mixed-methods study of health and well being during the SARSCoV2 coronavirus pandemic",2021,"this study aims to identify determinants of health behaviour using the capability, opportunity, motivation (com-b) model using a longitudinal mixed-methods approach.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19 risk perception (perceived susceptibility, harmfulness, worry and attention)",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: covid-19","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Helleringer","Social networks, perceptions of risk, and changing attitudes towards HIV/AIDS: New evidence from a longitudinal study using fixed-effects analysis",2005,"the aim of the study presented in this paper was to investigate whether social interactions among friends, peers, relatives, and community members play an important role in developing strategies to reduce the risk of hiv/aids, and in evaluating the benefits of ‘new’ behaviour such as the adoption of condom use, increased marital fidelity, or more selective partner choices",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"expression of worry is taken as the respondent's perception of the risk of aids",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hiv/aids",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: hiv/aids","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Cho","Changes in Consumers’ Food Purchase and Transport
Behaviors over a Decade (2010 to 2019) Following Health and Convenience Food Trends",2020,"the present study aims to conduct consumer surveys on risky behaviors during food purchase/transport and their changes over time.",NA,"serial-cross sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"q5. what do you buy first between food and nonfood items? q6. what do you buy first between refrigerated/frozen foods or foods that can be stored at room temperature? q7. which factors do you consider when purchasing food?
",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 years",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"south korea",NA,NA,NA,NA,1214,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Wambua","The influence of risk perceptions on close contact frequency during the SARS‑CoV‑2 pandemic",2022,"this paper’s main objective is to explore the relationship between covid-19 related perceptions and the number of social contacts using data from the comix study, a longitudinal survey in which individuals are asked about their attitudes, awareness, and behaviours in response to covid-19 over time in europe3","data available upon request","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale (strongly agree
tend to agree
neither agree nor disagree
tend to disagree
strongly disagree
don’t know)",NA,NA,NA,NA,"to what extent do you agree or disagree with the following statements ...
coronavirus would be serious illness for me (perceived severity)
i am likely to catch coronavirus (perceived susceptibility)
if i don’t follow the government’s advice, i might spread coronavirus to someone who is vulnerable (per-
ceived benefit to vulnerable)",NA,NA,NA,NA,"11",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: covid-19","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Kobbeltved","Risk as feelings or risk and feelings? A cross‐lagged panel analysis",2005,"this article focuses on affective and cognitive processes underlying the perception of risk. a limitation with most process models of affect/cognition is that they include only concurren emotions.",NA,"longitudinal","risk","worry",NA,NA,NA,"scale","scale",NA,NA,NA,"4-point likert scale, very low - every high","4-point likert scale, very low - very high",NA,NA,NA,"perceived risk and security were measured with straightforward questions concerning: (i)
personal risk (‘‘how do you generally judge the probability of being seriously injured as a
consequence of the mission?’’), (ii) general risk (‘‘how do you generally judge the risk
associated with the mission?’’) and (iii) security (‘‘how do you generally judge that the
security will be handled during the mission?’’).","worry was measured with two straightforward questions concerning: (i) worrying at night
(‘‘during the last couple of weeks, have you stayed awake at night worrying?’’) and (ii)
domestic worry (‘‘to what extent do you worry about domestic matters during mission?’’).",NA,NA,NA,"3",3,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: affect/cognition","yes","yes",NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant","significant",NA,NA,NA,"personal risk : t2-t3
general risk: t1-t2","domestic worry: t1-t2-t3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"experts",NA,NA,NA,NA,"military sailors",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"mediterranean sea",NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,40,NA,NA,NA,NA
"53","Baumgartner","Assessing Causality in the Relationship Between Adolescents’ Risky Sexual Online Behavior and Their Perceptions of this Behavior",2010,"the main aim of this study was to investigate the causal nature of the relationship between adolescents’
risky sexual behavior on the internet and their perceptions of this behavior.","panel",NA,"risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"4-point likert",NA,NA,NA,NA,"specifically, we asked participants: (1) ‘‘how
dangerous is it to search on the internet for someone to talk about sex?’’ (2) ‘‘how dangerous is it to search on the internet for someone to have sex?’’ (3) ‘‘how dangerous is
it to send on the internet photos or videos on which you are partly naked to someone you know only online?’’ (4)
‘‘how dangerous is it to send your address or telephone number online to someone you know only online?’’",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: sexual activity","yes",NA,NA,NA,NA,"correlation",NA,NA,NA,NA,".52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t1-t2",NA,NA,NA,NA,"6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adolescents",NA,NA,NA,NA,"netherlands",NA,NA,NA,NA,1445,NA,NA,NA,NA,0.49,NA,NA,NA,NA,"14.5",NA,NA,NA,NA,1.68,NA,NA,NA,NA,12,NA,NA,NA,NA,17,NA,NA,NA,NA
"54","Sapp","Consumer acceptance of food irradiation: a test of the recreancy theorem",2009,"this study examined the efficacy of the recreancy theorem to broaden social science approaches to understanding consumer acceptance of controversial technologies.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point likert scale",NA,NA,NA,NA,"perceived risk was measured with items that assessed the likelihood of contracting cancer, experiencing health problems later in life and decreasing the nutrient
value of one’s diet from eating irradiated food, along with an item that asked respondents if eating irradiated food was safer than eating non-irradiated food.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: food safety","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 months",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"united states of america",NA,NA,NA,NA,116,NA,NA,NA,NA,0.62,NA,NA,NA,NA,"50.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","van Wees","The impact of STI test results and face-to-face consultations on subsequent behavior and psychological characteristics",2020,"we examine the impact of sti testing with and without
consultation and the combined effect of a positive test result and treatment consultation, on behavioral and
psychological characteristics over time.",NA,"longitudinal","risk",NA,NA,NA,NA,"questionnaire",NA,NA,NA,NA,NA,NA,NA,NA,NA,"the questionnaire included questions on risk perception for chlamydia",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,"they might have experienced a test consultation or positive test: the impact of a test consultation was assessed by comparing differences in changes in behavioral and psychological characteristics over
time between individuals who tested chlamydia negative with and
without a test consultation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: sti","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"when looking at changes
over time, both participants with and without a test consultation reported decreased risk perception and anticipated shame at three-week follow-up, and decreased risk perception and number of partners, and increased knowledge at six-month follow-up, compared to baseline (p-
values < 0.05, denoted in bold in table 2).",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"netherlands",NA,NA,NA,NA,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,24,NA,NA,NA,NA
"56","Gerber","Taking Care of Each Other: How Can We Increase Compliance with Personal Protective Measures During the COVID-19  Pandemic in Chile?",2021,"in this article, we test the effect of (1) sociodemographic and socioeconomic, (2) instrumental, and (3) normative factors on chilean citizens’ adherence to individual protective measures during the covid-19 pandemic.",NA,"longitudinal","risk","risk",NA,NA,NA,"single item","single item",NA,NA,NA,"5-point likert scale","5-point likert scale",NA,NA,NA,"perceived risk of covid-19 was captured through the question ‘how dangerous do you think coronavirus is for you and your closest ones?’","perceived risk of covid-19 was captured through the question ‘how dangerous do you think coronavirus is for you and your closest ones?’",NA,NA,NA,"5",5,NA,NA,NA,"study 1","study 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19","covid-19",NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: compliance with personal protection","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Wirz","A Longitudinal Analysis of Americans’ Media Sources, Risk Perceptions, and Judged Need for Action during the Zika Outbreak",2021,"the objective of this study is to better understand the effects of media attention on americans’ perceptions of risk by analyzing the different media sources and outlets, or “repertoires,” reported as used during the small 2016–2017 zika outbreak in the u.s.","decision research online panel","longitudinal","risk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"risk perceptions of the zika outbreak (personal risk, u.s. risk, judged need for action) were collected",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zika",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: zika","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"statistically negative trend over time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"82 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"united states of america",NA,NA,NA,NA,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Gidycz","Reciprocal Relationships Among Alcohol Use, Risk Perception, and Sexual Victimization: A Prospective Analysis",2007,"the purpose in this study was to assess longitudinally the relationships among alcohol use, risk perception, and sexual victimization",NA,"longitudinal","risk",NA,NA,NA,NA,"question",NA,NA,NA,NA,"3-point likert",NA,NA,NA,NA,"we asked participants to estimate the likelihood that they would be sexually assaulted during the next academic quarter (approximately 2 months)",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: alcohol, sexual victimization","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Martin","Dementia Worry and the Perception of Personal Risk",2021,"the present study explores the change sensitivity of the two constructs of worry and risk perception, and how the two constructs are differentially associated with objective risk factors such as family history of dementia.",NA,"longitudinal","risk","worry",NA,NA,NA,"single item","scale",NA,NA,NA,"5-point likert scale","5-point likert scale",NA,NA,NA,"to assess the subjective probability of developing
dementia in the future (“in your opinion, how likely is it that
you will develop dementia one day?”)","5 items: how concerned
are you about developing dementia one day?” (werner,
2002), (2) “i am worried about my memory.” (werner,
2002), (3) “are you afraid of dementia related to yourself?”
(dak-gesundheit, 2018), (4) “the thought of being affected
by dementia is threatening.” (kofahl et al., 2013), and one
new item (5) “how much does the thought of developing
dementia occupy your thoughts currently?",NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: dementia","yes","yes",NA,NA,NA,"correlation","correlation",NA,NA,NA,"0.56","0.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t1-t2","t1-t2",NA,NA,NA,"23.9 months","23.9 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,NA,"adults","adults",NA,NA,NA,"germany","germany",NA,NA,NA,129,129,NA,NA,NA,0.79,0.79,NA,NA,NA,"39",39,NA,NA,NA,15.6,15.6,NA,NA,NA,21,21,NA,NA,NA,79,79,NA,NA,NA
"60","Wang","The Changing Acceptance of COVID-19 Vaccination in Different Epidemic Phases in China: A Longitudinal Study",2021,"the present study aimed to examine whether the acceptance of covid-19 vaccination changed in different covid-19 epidemic phases in china.","data available upon request","longitudinal","risk",NA,NA,NA,NA,"questionnaire",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"questionnaire had items on perceived risk of being infected personally with covid-19",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: coivd-19, vaccination","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Nowak","Reciprocal relationships among influenza experiences, perceptions, and behavior: Results from a national, longitudinal survey of United States adults",2022,"our objective was to model the reciprocal relationships of perceived risk of contracting influenza with and without influenza vaccination, vaccination behavior, and reported influenza illness","rand american life panel (alp)","longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"0% -100%",NA,NA,NA,NA,"assessing an individual’s perceived probability of getting influenza with 
and without vaccination, which changed slightly over the course of the 
study.",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: influenza","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","White","A longitudinal perspective on women's risk perceptions for sexual assault",2001,"the present paper examines several questions about fear of stranger and acquaintance assault, the relationship between perceived vulnerability to assault and risk-taking behaviors, and the impact of perceived vulnerability on the likelihood of a future assault.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 items. 
risk perception was assessed by 
asking respondents to rate their ""chances that the following will happen to 
you at some point in the future"" for the items ""sexual assault by an 
acquaintance/date"" and ""sexual assault by a stranger."" these items were 
embedded in a list of 12 other events",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: sexual assault","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"the perceived risk of assault declined significantly across time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"female students",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,1569,NA,NA,NA,NA,1,NA,NA,NA,NA,"18.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,20,NA,NA,NA,NA
