"","study_id","title","author","paper_title","publication_year","aim_of_study","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","how_computed_1","how_computed_2","how_computed_3","how_computed_4","how_computed_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_1","intervention_2","intervention_3","intervention_4","intervention_5","intervention_times_1","intervention_times_2","intervention_times_3","intervention_times_4","intervention_times_5","intervention_duration_1","intervention_duration_2","intervention_duration_3","intervention_duration_4","intervention_duration_5","intervention_interval_1","intervention_interval_2","intervention_interval_3","intervention_interval_4","intervention_interval_5","exposure_1","exposure_2","exposure_3","exposure_4","exposure_5","exposure_times_1","exposure_times_2","exposure_times_3","exposure_times_4","exposure_times_5","exposure_duration_1","exposure_duration_2","exposure_duration_3","exposure_duration_4","exposure_duration_5","exposure_interval_1","exposure_interval_2","exposure_interval_3","exposure_interval_4","exposure_interval_5","domain","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","test-retest_result_1","test-retest_result_2","test-retest_result_3","test-retest_result_4","test-retest_result_5","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","comparison_significant_1","comparison_significant_2","comparison_significant_3","comparison_significant_4","comparison_significant_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","characteristics_sample_1","characteristics_sample_2","characteristics_sample_3","characteristics_sample_4","characteristics_sample_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"58","Gidycz 2007","Reciprocal relationships among alcohol use, risk perception, and sexual victimization: A prospective analysis","Gidycz","Reciprocal Relationships Among Alcohol Use, Risk Perception, and Sexual Victimization: A Prospective Analysis",2007,"The purpose in this study was to assess longitudinally the relationships among alcohol use, risk perception, and sexual victimization",NA,"longitudinal","risk",NA,NA,NA,NA,"question",NA,NA,NA,NA,"3-point likert",NA,NA,NA,NA,"We asked participants to estimate the likelihood that they would be sexually assaulted during the next academic quarter (approximately 2 months)",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: alcohol, sexual victimization","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Martin 2021","Dementia Worry and the Perception of Personal Risk","Martin","Dementia Worry and the Perception of Personal Risk",2021,NA,NA,"longitudinal","risk","worry",NA,NA,NA,"single item","scale",NA,NA,NA,"5-point Likert scale","5-point Likert scale",NA,NA,NA,"To assess the subjective probability of developing
dementia in the future (“In your opinion, how likely is it that
you will develop dementia one day?”)","5 items: How concerned
are you about developing dementia one day?” (Werner,
2002), (2) “I am worried about my memory.” (Werner,
2002), (3) “Are you afraid of dementia related to yourself?”
(DAK-Gesundheit, 2018), (4) “The thought of being affected
by dementia is threatening.” (Kofahl et al., 2013), and one
new item (5) “How much does the thought of developing
dementia occupy your thoughts currently?",NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: dementia","yes","yes",NA,NA,NA,"correlation","correlation",NA,NA,NA,"0.56","0.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t1-t2","t1-t2",NA,NA,NA,"23.9 months","23.9 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,NA,"adults","adults",NA,NA,NA,"Germany","Germany",NA,NA,NA,129,129,NA,NA,NA,0.79,0.79,NA,NA,NA,"39",39,NA,NA,NA,15.6,15.6,NA,NA,NA,21,21,NA,NA,NA,79,79,NA,NA,NA
"60","Wang 2021","The Changing Acceptance of COVID-19 Vaccination in Different Epidemic Phases in China: A Longitudinal Study","Wang","The Changing Acceptance of COVID-19 Vaccination in Different Epidemic Phases in China: A Longitudinal Study",2021,"The present study aimed to examine whether the acceptance of COVID-19 vaccination changed in different COVID-19 epidemic phases in China.","data available upon request","longitudinal","risk",NA,NA,NA,NA,"questionnaire",NA,NA,NA,NA,"5-point Likert scale",NA,NA,NA,NA,"questionnaire had items on perceived risk of being infected personally with COVID-19",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: COIVD-19, vaccination","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Nowak 2022","Reciprocal relationships among influenza experiences, perceptions, and behavior: Results from a national, longitudinal survey of United States adults","Nowak","Reciprocal relationships among influenza experiences, perceptions, and behavior: Results from a national, longitudinal survey of United States adults",2022,"Our objective was to model the reciprocal relationships of perceived risk of contracting influenza with and without influenza vaccination, vaccination behavior, and reported influenza illness","RAND American Life Panel (ALP)","longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"0% -100%",NA,NA,NA,NA,"assessing an individual’s perceived probability of getting influenza with 
and without vaccination, which changed slightly over the course of the 
study.",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; Other: influenza","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","White 2001","A longitudinal perspective on women's risk perceptions for sexual assault","White","A longitudinal perspective on women's risk perceptions for sexual assault",2001,"The present paper examines several questions about fear of stranger and acquaintance assault, the relationship between perceived vulnerability to assault and risk-taking behaviors, and the impact of perceived vulnerability on the likelihood of a future assault.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 items. 
risk perception was assessed by 
asking respondents to rate their ""chances that the following will happen to 
you at some point in the future"" for the items ""sexual assault by an 
acquaintance/date"" and ""sexual assault by a stranger."" These items were 
embedded in a list of 12 other events",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other: sexual assault","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"the perceived risk of assault declined significantly across time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"female students",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"USA",NA,NA,NA,NA,1569,NA,NA,NA,NA,1,NA,NA,NA,NA,"18.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,20,NA,NA,NA,NA
"63","Eggers 2017","Predicting Primary and Secondary Abstinence Among Adolescent Boys and Girls in the Western Cape, South Africa","Eggers","Predicting Primary and Secondary Abstinence Among Adolescent Boys and Girls in the Western Cape, South Africa",2017,"This study identified socio-cognitive determinants of
primary and secondary abstinence intentions and of early sexual activity. This study also assessed whether these factors had a direct or indirect association with intentions to abstain from sex.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert",NA,NA,NA,NA,"Risk perceptions towards getting STI’s and HIV were
assessed by four items pertaining to susceptibility and severity.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,"promote sexual and reproductive health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health","yes",NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"male: .49
female: .43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adolescents",NA,NA,NA,NA,"South Africa",NA,NA,NA,NA,1670,NA,NA,NA,NA,0.61,NA,NA,NA,NA,"13.6",NA,NA,NA,NA,1.01,NA,NA,NA,NA,12,NA,NA,NA,NA,16,NA,NA,NA,NA
"64","Barcenilla-Wong 2013","CONCERN AND RISK PERCEPTION FOR OSTEOPOROSIS AND FRACTURES AMONGST POST-MENOPAUSAL AUSTRALIAN WOMEN: RESULTS FROM THE GLOBAL LONGITUDINAL STUDY OF OSTEOPOROSIS IN WOMEN (GLOW) COHORT","Bacenilla-Wong","Concern and risk perception of osteoporosis and fracture among post-menopausal Australian women: results from the Global Longitudinal Study of Osteoporosis in Women (GLOW) cohort",2013,"The purpose of this study is to identify factors associated with concern and perception of risks of osteoporosis and osteoporotic fractures and determine whether bone mineral density (BMD) testing influenced concern and risk perception.",NA,"longitudinal","risk","concern",NA,NA,NA,"scale","questionnaire",NA,NA,NA,"5-point likert",NA,NA,NA,NA,"Perception of risk of getting osteoporosis and having a fracture were both assessed by asking participants to rate their own risk of getting osteo-
porosis and also their own risk of having a fracture (i.e. a lot lower, a little lower, about the same, a little higher or much higher compared to other women their age).","Concern about osteoporosis’ was assessed by asking participants to rate their level of concern about osteoporosis (i.e. very concerned, a little concerned or not at all concerned)",NA,NA,NA,"4",4,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Poulus 2022","Longitudinal analysis of stressors, stress, coping and coping effectiveness in elite esports athletes","Poulus","Longitudinal analysis of stressors, stress, coping and coping effectiveness in elite esports athletes",2022,"The current study aimed to longitudinally examine the stressors, stress appraisal, coping, and coping effectiveness experienced by elite esports athletes.",NA,"longitudinal","threat",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"5-point Likert scale",NA,NA,NA,NA,"threat (I perceive this stressor as being potentially harmful or causing loss)",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: stress and coping in esports","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Yong 2022","Threats of COVID-19 arouse public awareness of climate change risks","Gong","Threats of COVID-19 arouse public awareness of climate change risks",2022,"(1) confirming the causal relationship between COVID-19 and climate change risk perception (i.e., the ‘‘arousal’’ effect) with longitudinal panel data from a large-scale
survey, and (2) examining the hypothesized affective and cognitive pathways as the potential mechanisms.","data available upon request","longitudinal","risk","risk",NA,NA,NA,"scale","scale",NA,NA,NA,"7-point Likert scale","7-point Likert scale",NA,NA,NA,"COVID-19 risk perception: self-reported severity,
perceived others’ severity perception, and perceived strength of the risk’s impact.","climate change risk perception: self-reported severity,
perceived others’ severity perception, and perceived strength of the risk’s impact.",NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19","covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; natural catastrophe; Other: climate change","yes","yes",NA,NA,NA,"correlation","mean difference",NA,NA,NA,"covid: .49
climate: .31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"increased T1-T2",NA,NA,NA,"1 month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 month",NA,NA,NA,"laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,"China","China",NA,NA,NA,1266,1266,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,NA,NA,NA,NA,NA,NA,NA,NA
"67","TEDDYStudyGrp 2021","Parental monitoring for type 1 diabetes in genetically at-risk young children: The TEDDY study","Smith","Parental monitoring for type 1 diabetes in genetically at-risk young children: The TEDDY study",2021,"We examined parental diabetes monitoring behaviors in a cohort of children at increased genetic risk for type 1 diabetes. We hypothesized that being informed of a positive islet autoantibody (IA) would increase monitoring behaviors",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"The responses were coded as accurate or an underestimate",NA,NA,NA,NA,"Parents were asked about their perception of their child's risk for developing type 1 diabetes at the 6-month visit, the 15-month visit, and annually thereafter. Their responses were coded as accurate (the
child's diabetes risk was higher or much higher than other children's
risk) or an underestimate (the child's diabetes risk was the same,
somewhat lower, or much lower than other children's risk)",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,"diabetes 1 testing",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: diabetes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","deGraaff 2019","Governance and risk in everyday life: depoliticization and citizens' experiences of cell site deployment in the Netherlands and Southern California","de Graaff","Governance and risk in everyday life: depoliticization and citizens' experiences of cell site deployment in the Netherlands and Southern California",2019,"To map changes in citizens’ experiences of technological risks and asks if these are influenced by risk governance","Dutch national level panel","serial-cross sectional","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"5-point likert",NA,NA,NA,NA,"Our risk perception question was: ‘How worried are you about the health effects of cell towers?’",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other: technological (cell site deployment)","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Betsch 2018","How baby's first shot determines the development of maternal attitudes towards vaccination","Betsch","How baby’s first shot determines the development of maternal attitudes towards vaccination",2018,"This study aimed to assess how and why attitudes become more pro-vaccine or vaccine-skeptical over time, and which sources are especially influential in this process.","https://osf.io/chk97","longitudinal","risk","concern",NA,NA,NA,"scale","questionnaire",NA,NA,NA,"0 (no risk) to 100 (very high risk)","0 (no concern) to 100 (very high concern)",NA,NA,NA,"perceived risk of vaccine-adverse events and of vaccine-preventable disease","concerns about vaccine-adverse events and about vaccine-preventable disease",NA,NA,NA,"4",4,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vaccination/pregnancy","vaccination/pregnancy",NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,"7.5 months","7.5 months",NA,NA,NA,"health; Other: pregnancy","yes","yes",NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant","significant",NA,NA,NA,"T0 - Follow- up 1 (+3Months)
T0 - Follow- up 2 (+6Months)
T0 - Follow- up 3(+14Months)
Follow up 1 (+3Months) - Follow- up 3(+14Months)","T0 - Follow- up 1 (+3Months)
T0 - Follow- up 3(+14Months)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5 months","7.5 months",NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"mothers","mothers",NA,NA,NA,"adults","adults",NA,NA,NA,"Germany","Germany",NA,NA,NA,351,351,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,NA,NA,NA,49,49,NA,NA,NA
"70","Koteles 2013","Modern Health Worries, Somatosensory Amplification and Subjective Symptoms: A Longitudinal Study","Köteles","Modern Health Worries, Somatosensory Amplification and Subjective Symptoms: A Longitudinal Study",2013,"The study investigates the temporal association among subjective symptoms, somatosensory amplification (SSA), and modern health worries (MHWs).",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point Likert scale",NA,NA,NA,NA,"25 items. modern health worries. The scale is divided into four sub scales (Environmental pollution, Toxic interventions, Tainted food, Radiation)",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; natural catastrophe; nuclear power accidents ; Other: Environmental pollution, Toxic interventions, Tainted food, Radiation","yes",NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"r=0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Bearth 2021","Reactions of older Swiss adults to the COVID-19 pandemic: A longitudinal survey on the acceptance of and adherence to public health measures","Bearth","Reactions of older Swiss adults to the COVID-19 pandemic: A longitudinal  survey on the acceptance of and adherence to public health measures",2021,"To improve public health communication, it is vital to understand, which sociodemographic and psychological factors drive older people’s acceptance of and compliance with public health measures.",NA,"serial-cross sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point likert",NA,NA,NA,NA,"Personal risk perception was measured with three single items related 
to a) likelihood of infection, b) vulnerability to infection and c) severity 
of illness",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"Likelihood of infection and Vulnerability to infection: Wave 1 -Wave 2 (increased)
Wave 2 -Wave 3 (remained stable)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 month",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"older adults",NA,NA,NA,NA,"Switzerland",NA,NA,NA,NA,327,NA,NA,NA,NA,0.31,NA,NA,NA,NA,"70",NA,NA,NA,NA,7,NA,NA,NA,NA,59,NA,NA,NA,NA,90,NA,NA,NA,NA
"72","Liao 2019","Trajectories of public psycho-behavioural responses relating to influenza A(H7N9) over the winter of 2014-15 in Hong Kong","Liao","Trajectories of public psycho-behavioural responses relating to influenza A(H7N9) over the winter of 2014-15 in Hong Kong",2019,"To explore trajectories of public psycho-behavioural
responses over one influenza A(H7N9) epidemic wave, and examine the interplays among social norm influence, disease worry and protective behaviours",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point categorical scale",NA,NA,NA,NA,"Worry about H7N9: Participants were asked to rate their level of worry about personal and family/relatives being infected with H7N9, respectively, on a five-point categorical scale. Internal consistency was desirable with Cronbach’s a ranging between 0.71 and 0.79 over the five phases.",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; Other: influenza A (H7N9)","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Osorio 2022","Monitoring the Mental Health and Professional Overload of Health Workers in Brazil: A Longitudinal Study Considering the First Wave of the COVID-19 Pandemic","Osório","Monitoring the Mental Health and Professional Overload of Health Workers in Brazil: A Longitudinal Study Considering the First Wave of the COVID-19 Pandemic",2022,"The objective was to assess the evolution of mental health indicators of Brazilian health workers providing care to COVID-19 patients, considering the beginning and first wave of the pandemic, identifying risk and protective factors.","data available upon request","longitudinal","concern",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"2-point Likert scale (yes, no)",NA,NA,NA,NA,"Concerns with being infected; Concerns with a family member being infected",NA,NA,NA,NA,"7",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: mental health and professional overload of health workers","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
