"","Journal","Volume","Issue","Pages","DOI","Abstract","author","paper_title","publication_year","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","item_number_1","item_number_2","item_number_3","item_number_4","item_number_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_yesno_1","intervention_yesno_2","intervention_yesno_3","intervention_yesno_4","intervention_yesno_5","exposure_yesno_1","exposure_yesno_2","exposure_yesno_3","exposure_yesno_4","exposure_yesno_5","domain","health","nature","crime","finance","nuclear","political","social","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","correlation_results_1","correlation_results_1.1","correlation_results_1.2","correlation_results_1.3","correlation_results_1.4","correlation_results_1.5","correlation_results_1.6","correlation_results_1.7","correlation_results_1.8","correlation_results_2","correlation_results_3","correlation_results_4","correlation_results_5","ICC_results_1","ICC_results_1.1","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","sample_category_1","sample_category_2","sample_category_3","sample_category_4","sample_category_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"25","CLINICAL GENETICS",85,"1","7-15","10.1111/cge.12298","This study was performed to describe the impact of preventive options on the psychological condition of BRCA1/BRCA2 carriers. A sample of 52 cancer-affected (C-A) and 27 cancer-unaffected (C-UN) women were enrolled after gene test disclosure (T0). Psychological evaluations were performed at T0 and 15months later (T1). The surgical options were more likely to be chosen in C-A women (62%), although a consistent proportion of C-UN women (30%) also opt for these preventive measures. At the baseline, both samples had average anxiety and depression scores below the cut-off value, restrained average cancer worry scores and a risk perception consistent with the risk percentage provided during genetic counselling. The longitudinal results indicated no clinically meaningful variations in the anxiety and depression scores in either of the two samples. Statistically significant reductions in cancer-risk perception emerged in women who chose surgery in both C-A and C-UN women. In BRCA1/BRCA2 mutation carriers, surveillance does not influence their initial psychological condition, whereas prophylactic surgery has a significant impact in reducing the perceived risk and worry about getting sick. C-A and C-UN women have to be considered as two separate populations of BRCA mutation carriers requiring personalized approaches to risk management.","Borreani","The psychological impact of breast and ovarian cancer preventive options in BRCA1 and BRCA2 mutation carriers",2014,NA,"longitudinal","risk","worry",NA,NA,NA,"scale","scale",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,1,1,0,0,0,0,0,0,0,0,"cancer",1,0,0,0,0,0,0,1,1,NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant","significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,450,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"only female","only female",NA,NA,NA,"adults","adults",NA,NA,NA,"italy","italy",NA,NA,NA,79,79,NA,NA,NA,1,1,NA,NA,NA,"44.6",44.6,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,NA,NA,"70",70,NA,NA,NA
"26","PERSONALITY AND INDIVIDUAL DIFFERENCES",24,"6","887-890","10.1016/S0191-8869(97)00232-8","The reliability and validity of the Penn State Worry Questionnaire (PSWQ) and the Worry Domains Questionnaire (WDQ) were examined with self-ratings from a non-clinical sample of 148 students in a test-retest design across four weeks. Ratings from three well-acquainted peers were also obtained. With internal consistencies and test-retest correlations of at least 0.85, the present study confirmed the high reliability of the questionnaires. Moreover, both measures demonstrated substantial convergent validity: Average agreement among peers was 0.42 (PSWQ) and 0.47 (WDQ) and aggregated self-peer agreement was 0.55 (PSWQ) and 0.49 (WDQ). Self-peer agreement was not biased by social desirability. These findings challenge views that worry is an unreliable and unobservable phenomenon. (C) 1998 Elsevier Science Ltd. All rights reserved.","Stöber","Reliability and validity of two widely-used worry questionnaires: self-report and self-peer convergence",1998,NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"16",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"health; other: questionnaire validation",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"0.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"germany",NA,NA,NA,NA,148,NA,NA,NA,NA,0.58,NA,NA,NA,NA,"26.9",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ROYAL SOCIETY OPEN SCIENCE",8,"11",NA,"10.1098/rsos.210904","Slowing the spread of COVID-19 requires people to actively change their lives by following protective practices, such as physical distancing and disinfecting their hands. Perceptions about the personal risk of COVID-19 may affect compliance with these practices. In this study, we assessed risk perception and optimism about COVID-19 in a multinational (UK, USA and Germany), longitudinal design during the early stages of the pandemic (16 March 2020; 1 April 2020; 20 May 2020). Our main findings are that (i) people showed a comparative optimism bias about getting infected and infecting others, but not for getting severe symptoms, (ii) this optimism bias did not change over time, (iii) optimism bias seemed to relate to perceived level of control over the action, (iv) risk perception was linked to publicly available information about the disorder, (v) people reported adhering closely to protective measures but these measures did not seem to be related to risk perception, and (vi) risk perception was related to questions about stress and anxiety. In additional cross-sectional samples, we replicated our most important findings. Our open and partly preregistered results provide detailed descriptions of risk perceptions and optimistic beliefs during the early stages of the COVID-19 pandemic in three Western countries.","Kuper-Smith","Risk perception and optimism during the early stages of the COVID-19 pandemic",2021,"https://osf.io/ukz8n","longitudinal","risk","risk","risk",NA,NA,"scale","scale","scale",NA,NA,NA,NA,NA,NA,NA,"19",19,19,NA,NA,"3",3,3,NA,NA,"single","single","single",NA,NA,0,0,0,0,0,1,1,1,0,0,"health catastrophe",1,0,0,0,0,0,0,1,1,1,NA,NA,"correlation","correlation","correlation",NA,NA,"-0.3784",NA,NA,NA,NA,NA,NA,NA,NA,"-0.2666","-0.6188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,"adults",NA,"adults",NA,NA,"uk","uk","uk",NA,NA,432,432,432,NA,NA,NA,NA,NA,NA,NA,"33.3",33.3,33.3,NA,NA,11.3,11.3,11.3,NA,NA,18,18,18,NA,NA,"81",81,81,NA,NA
"28","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH",15,"6",NA,"10.3390/ijerph15061219","After the Fukushima nuclear power plant accident, numerous evacuees reported poor mental health status and high-risk perceptions of the health effects of radiation. However, the temporal associations between these variables have not yet been examined. Using data from the Fukushima Health Survey, we examined changes in risk perception of the health effects of radiation over time and assessed the effects of mental health on such changes using logistic regression analysis. Risk perception for delayed effect pertains a brief on health effect in later life (delayed effect), whereas that of genetic effect pertains a brief on health effect of future children and grandchildren (genetic effect). We found that many participants showed consistently high or low-risk perceptions over all three study years (2011-2013) (for delayed effect: 59% and 41% of participants were in the low and high-risk perception groups, respectively; for genetic effect: 47% and 53%, respectively). Stronger traumatic reactions (50 on the PTSD Checklist-Specific) significantly affected the odds of being in the high-risk perception group for the delayed and genetic effects, with the associations being strongest soon after the disaster: The adjusted ORs (95%CIs) were 2.05 (1.82-2.31), 1.86 (1.61-2.15), and 1.88 (1.62-2.17) for the delayed effect in 2011, 2012, and 2013, respectively, and 2.18 (1.92-2.48), 2.05 (1.75-2.40), and 1.82 (1.55-2.15) for the genetic effect. As initial mental health status had the strongest impact on later risk perceptions of radiation, it should be considered in early response and communication efforts.","Suzuki","Changes in Risk Perception of the Health Effects of
Radiation and Mental Health Status: The Fukushima
Health Management Survey",2018,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"2",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"natural catastrophe; nuclear power accidents",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","JOURNAL OF RISK RESEARCH",24,"3-4","294-313","10.1080/13669877.2021.1890637","In this study, we present results from five cross-sectional surveys on public risk perception of COVID-19 and its association with health protective behaviours in the UK over a 10-month period (March 2020 to January 2021). Samples were nationally balanced on age, gender, and ethnicity (total N = 6,281). We find that although risk perception varies between the time points surveyed, it is consistently, significantly, and positively correlated with the reported adoption of protective health behaviours, such as wearing face masks or social distancing. There is also an increase in reported health protective behaviours in the UK between March 2020 and January 2021. The strength of the association between risk perception and behaviour varies by time point, with a stronger relationship in January 2021 compared to March and May 2020. We also assess the stability of the psychological determinants of risk perception over time. People's prosocial tendencies and individualistic worldviews, experience with the virus, trust in government, science, and medical professionals, as well as personal and collective efficacy all emerged as significant predictors. With few exceptions, these predictors remained consistent in their relationship with risk perception over time. Lastly, we find that psychological factors are more predictive of risk perception than an objective measure of situational severity, i.e. the number of confirmed COVID-19 cases at the time of data collection. Implications for risk communication are discussed.","Schneider","COVID-19 risk perception: a longitudinal analysis of its predictors and associations with health protective behaviours in the United Kingdom",2021,"https://osf.io/jnu74","serial cross-sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"6",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health catastrophe",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"uk",NA,NA,NA,NA,6281,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.13",NA,NA,NA,NA,15.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","SOCIAL INDICATORS RESEARCH",112,"3","535-548","10.1007/s11205-012-0050-8","In a national sample of the Italian population, surveyed four times between October 2002 and January 2007 (N = 2,008), we performed a multilevel longitudinal study aimed at predicting the increase in crime risk perception as a function of three families of independent variables, respectively lying at the within individual level (direct victimization and indirect victimization), at the between-individuals level (being a woman, being an older person, being a poorly educated person and size of area of residence) and at the ecological level (county's crime rate, unemployment rate and immigration rate). Direct and indirect victimization, being a woman, being an older person, living in a large town and in a context characterized by high crime and unemployment rates positively influenced the change in crime risk perception, while the other individual and ecological predictors we used in our predictive model did not. Strengths, limitations, implications and future developments of this research are discussed.","Russo","Criminal Victimization and Crime Risk Perception: A Multilevel Longitudinal Study",2012,NA,"serial cross-sectional","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"1",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"other: crime",0,0,1,0,0,0,0,1,NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"italy",NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","RISK ANALYSIS",NA,NA,NA,"10.1111/risa.14023","As residents living in hazard-prone areas face on-going environmental threats, the actions they take to mitigate such risks are likely motivated by various factors. Whereas risk perception has been considered a key determinant of related behavioral responses, little is known about how risk mitigation actions influence subsequent perceived risk. In other words, do actions to prevent or mitigate risk reduce risk perception? This longitudinal study considers the dynamic relationships between risk perception and risk-mitigating behavior in the context of forest disturbance in north-central Colorado. Based on panel survey data collected in 2007 and 2018, the results provide a first look at changes in perceived forest risks as they relate to individual and community actions in response to an extensive mountain pine beetle outbreak. Analysis revealed that the perception of direct forest risks (forest fire and falling trees) increased, whereas indirect forest risk perception (concern on broader threats to local community) decreased across the two study phases. Higher individual or community activeness (level of actions) was associated with subsequent reductions in perceived forest fire risk, smaller increases in direct risk perception, and larger decreases in indirect risk perception. These findings contribute insights into the complex risk reappraisal process in forest hazard contexts, with direct implications for risk communication and management strategies.","Qin","Do actions reduce perceived risk? A longitudinal analysis of the relationship between risk perception and actions in response to forest disturbance in Colorado",2022,NA,"longitudinal","risk","risk","risk",NA,NA,"scale","scale","scale",NA,NA,"likert scale","likert scale","likert scale",NA,NA,"22",NA,11,NA,NA,"2",2,2,NA,NA,"single","single","single",NA,NA,0,0,0,0,0,0,0,0,0,0,"other: forests",0,1,0,0,0,0,0,1,1,1,NA,NA,"mean difference","mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant","significant","significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3650,3650,3650,NA,NA,"laypeople","laypeople","laypeople",NA,NA,"multiple samples","multiple samples","multiple samples",NA,NA,"adults","adults","adults",NA,NA,"usa","usa","usa",NA,NA,1130,1130,1130,NA,NA,0.44,0.44,0.44,NA,NA,"63.3",63.3,63.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","APPETITE",87,NA,"152-159","10.1016/j.appet.2014.12.214","Background: Eating in moderation, i.e. the attempt to monitor and limit the intake of energy-dense foods, is a promising strategy in the prevention of weight gain. The purpose of this study was to examine which psychosocial factors derived from the 1-Change Model (ICM) were associated with eating in moderation, and whether these factors differed between adults with a correct (aware) or incorrect (unaware) perception of their dietary behaviour. Methods: This study used a longitudinal design with measurements at baseline (N = 483) and six-month follow-up (N = 379). Eating in moderation was defined as the average daily energy intake from energy-dense food products and was measured by a validated food frequency questionnaire. Linear regression analyses were used to assess the associations between the ICM factors and eating in moderation. The moderating role of awareness was examined by including interactions between awareness and the ICM factors in the regression analyses using the pick-a-point approach to further examine the associations for aware and unaware participants. Results: Participants who were aware of their dietary behaviour had a significantly lower average daily energy intake compared to those who were unaware. Eating in moderation was predicted by awareness, risk perception, social influence and intention. Among the aware participants, eating in moderation was predicted by risk perception, attitude, social influence and intention. Among the unaware participants, only risk perception and self-efficacy were significantly associated with eating in moderation. Conclusions: Our findings show that psychosocial factors may only predict eating in moderation when people are aware of their risk behaviour. Therefore, interventions aimed at promoting complex behaviours, such as eating in moderation, should first focus on improving individuals' awareness of their risk behaviour before targeting motivational factors. (C) 2014 Elsevier Ltd. All rights reserved.","Walthouwer","Eating in moderation and the essential role of awareness. A Dutch
longitudinal study identifying psychosocial predictors",2015,"internet research panel (flycatcher, the netherlands)","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"12",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"health; other: eating patterns",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","JOURNAL OF SAFETY RESEARCH",71,NA,"25-39","10.1016/j.jsr.2019.09.009","Introduction: The construction sector is leading in the number of accidents and fatalities; risk perception is the key to driving these numbers. Previous construction safety studies on risk perception quantification have not considered affective risk perception of construction workers or conducted comprehensive reliability and validity testing. Thus, this study aims to fill this need by developing a psychometrically sound instrument - the Construction Worker Risk Perception (CoWoRP) Scale - to assess the risk perception of construction workers. Method: Four phases of scale development, namely, item development, factor analysis, reliability assessment, and validity assessment were conducted with the collection and testing of data from a group (n = 469) of voluntary construction workers in Hong Kong. Results: The CoWoRP Scale with 13 items was shown to have acceptable test-retest reliability, internal consistency reliability, as well as content, convergent, discriminant, and criterion-related validity. Also, the CoWoRP Scale was affirmed to have three dimensions of worker risk perception, namely risk perception - probability, risk perception - severity, risk perception - worry and unsafe. These three dimensions of worker risk perception were negatively correlated with their risk-taking behavior. Conclusions: The CoWoRP Scale is a reliable and valid instrument for measuring the risk perception of construction workers and is expected to facilitate the construction safety studies that take risk perception of construction workers into account. Practical applications: The CoWoRP Scale could serve as an aptitude test to identify the characteristics of construction workers most likely to perceive lower risk in risky work situations. In turn, this information could help safety management provide safety training programs to those workers to enhance their risk perception and thereby minimizing their risk-taking behavior, reducing unnecessary training costs, and improving the construction safety performance. (C) 2019 National Safety Council and Elsevier Ltd. All rights reserved.","Man","Quantification of risk perception: Development and validation of the construction worker risk perception (CoWoRP) scale",2019,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"36",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"other: questionnaire validation",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.877","0.705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"workers",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"hong kong",NA,NA,NA,NA,469,NA,NA,NA,NA,0.0597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ECOLOGICAL INDICATORS",130,NA,NA,"10.1016/j.ecolind.2021.108080","Longitudinal studies of risk perception, while growing, remain an understudied area of risk analysis research. Natural resource-based communities provide a key backdrop for analyzing dynamic risk perceptions and related social-ecological processes. Since the mid-1990s, a mountain pine beetle (MPB) outbreak has affected roughly 3.4 million acres of north central Colorado forests. Slow-moving landscape changes have taken place as a result of the outbreak, making it a relevant case study in which to examine wildfire and forest risk perceptions over time. In 2018, we replicated and expanded a 2007 mail survey of residents about local response to the MPB outbreak in nine north central Colorado communities. Using the initial and follow-up survey data from these study communities, we examined the changing wildfire risk perception and its relationships with various aspects of local human-nature interactions. The longitudinal surveys showed that perceptions of all forest risks except for forest fire and falling trees declined across the two study phases. Respondents in the 2018 survey also indicated increases in perceived likelihood of a wildfire, perceived severity of possible wildfire damage, and general concern about wildfire hazard. The analysis suggested that evolving wildfire risk perception was strongly associated with a number of explanatory variables and personal characteristics. Higher levels of perceived tree mortality, community interaction and communication, and individual actions in response to forest risks were consistently related to greater odds of indicating increased wildfire risk perception. In general, community social vulnerability, perceived tree re-growth, satisfaction with local management entities, and age were negatively related to the likelihood of having elevated perceptions of fire risk, whereas males and forest-related occupations were associated with relatively lower odds of reporting increases in perceived wildfire risk. Significant influencing factors for change also varied across the cognitive and affective dimensions of wildfire risk perception. Findings of this research have important implications for conceptual approaches, management and policy, as well as social-ecological indication and analysis in forest risk related areas.","Qin","Explaining changes in perceived wildfire risk related to the mountain pine beetle outbreak in north central Colorado",2021,NA,"longitudinal","risk","risk",NA,NA,NA,"scale","scale",NA,NA,NA,"likert scale","likert scale",NA,NA,NA,"11",NA,NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"natural catastrophe; other: forest and wildfires",0,1,0,0,0,0,0,1,1,NA,NA,NA,"temporal trend","temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant","significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3650,3650,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"multiple samples","multiple samples",NA,NA,NA,"adults","adults",NA,NA,NA,"usa","usa",NA,NA,NA,1130,1130,NA,NA,NA,0.46,0.46,NA,NA,NA,"59.7",59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","AMERICAN PSYCHOLOGIST",77,"1","111-123","10.1037/amp0000885","Public Significance Statement In a 4-wave longitudinal study conducted in the United States and China, we examined the link between risk perception and preventive behavior in the context of the COVID-19 pandemic. We found that although individuals' risk perception had little effect on engagement in preventive behavior in China, it did motivate preventive behavior in the United States, particularly at the early pandemic stage. These findings suggest that the perception-behavior link can be influenced by culture, policy, and stage of a dynamic health hazard, and that campaigns promoting preventive behavior by increasing risk perception are more likely to succeed if implemented early, when risk perception is still in its formative stage. Controlling the spread of an infectious disease depends critically on the general public's adoption of preventive measures. Theories of health behavior suggest that risk perceptions motivate preventive behavior. The supporting evidence for this causal link is, however, of questionable validity. The COVID-19 pandemic provides a rare opportunity to examine how risk perceptions, preventive behavior, and the link between them develop in a fast-changing risky environment. In a 4-wave longitudinal study conducted in the United States and China, we found that for Chinese participants, there was little relationship between risk perceptions and preventive behavior. This may be a result of the Chinese government's strict control and containment policies and a collectivistic culture that encourages conforming to norms-both of which limit individuals' nonconformist behavior. For U.S. participants, risk perceptions did motivate preventive behavior in the early stage of the pandemic; however, as time went by and the risk of COVID-19 persisted, preventive behavior also led to perception of higher infection risk, which in turn further motivated preventive behavior. Thus, instead of the presumed unidirectional influence from perception to behavior, our results indicate that the two could mutually reinforce each other. Overall, our findings suggest that risk perceptions-at least in the context of a dynamic health hazard-may only motivate preventive behavior at specific stages and under specific conditions. They also highlight the importance of early interventions in promoting preventive behavior.","Li","Does Risk Perception Motivate Preventive Behavior During a Pandemic? A Longitudinal Study in the United States and China",2022,"https://osf.io/2phyv, amazon mechanical turk","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"9",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health catastrophe; other: preventive health behavior during pandemic",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"0.52","0.57","0.54","0.26","0.61","0.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa, china",NA,NA,NA,NA,901,NA,NA,NA,NA,0.48,NA,NA,NA,NA,"37.6",NA,NA,NA,NA,11.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","SOCIAL SCIENCE & MEDICINE",301,NA,NA,"10.1016/j.socscimed.2022.114949","We investigated how perceived risk and protective behaviors changed as the coronavirus epidemic progressed. A longitudinal sample of 538 people responded to a COVID-19 risk perception questionnaire during the outbreak and post-epidemic periods. Using Structural Equation Modeling (SEM), we examined the mean level change of selected constructs and differences in their relationships. We tested a risk perception pathway in which affective attitude, informed by experience, shaped risk perceptions and protective behaviors. The model also postulated a social pathway in which cultural worldviews, like individualism and hierarchy, predicted risk perceptions and protective behaviors through social norms. Latent mean difference analyses revealed a decrease in social distancing behaviors and an increase in hygiene-cleanliness, corresponding to a reduction in risk perceptions and social norms and a rise in direct and indirect experience, while affective attitude remained substantially stable. Cross-sectional and longitudinal path analyses showed that affective risk perception, primarily informed by affective attitude, and social norms promoted behavior consistency regardless of epidemic contingencies. Instead, analytic risk perceptions were linked to protective behaviors only during the outbreak. Although risk perceptions dropped over time, analytic risk perceptions dropped more steeply than affective risk perceptions. Our findings supported the distinction between affective and deliberative processes in risk perception, reinforcing the view that affective reactions are needed to deploy analytic processes. Our study also supports the claim that perceived social norms are essential to understanding cultural worldview-related protective behaviors variability.","Savadori","Risk perceptions and COVID-19 protective behaviors: A two-wave longitudinal study of epidemic and post epidemic periods",2022,"osf.io/pa573","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health catastrophe",1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"italy",NA,NA,NA,NA,538,NA,NA,NA,NA,0.46,NA,NA,NA,NA,"26",NA,NA,NA,NA,6.4,NA,NA,NA,NA,18,NA,NA,NA,NA,"45",NA,NA,NA,NA
